schema_name,relation_name,column_name,required,evidence_types,source_files
public,blank_products,color_id,True,filter | relationship | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,id,True,filter | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,image_url,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,low_stock_threshold,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,name,True,order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,product_type_id,True,filter | relationship | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,size_id,True,filter | relationship | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,sku_base,True,filter | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,unit_cost,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products_search,brand,True,order,src/lib/inventoryApi.js
